Lat(y);Long(x);PGA
-26.000;19.000;0.0233
-25.750;19.000;0.0283
-25.500;19.000;0.0288
-25.250;19.000;0.0291
-25.000;19.000;0.0293
-24.750;19.000;0.0306
-24.500;19.000;0.0331
-24.250;19.000;0.0317
-24.000;19.000;0.0204
-23.750;19.000;0.0197
-23.500;19.000;0.0198
-23.250;19.000;0.0203
-23.000;19.000;0.0223
-22.750;19.000;0.0267
-22.500;19.000;0.0271
-22.250;19.000;0.0866
-22.000;19.000;0.0206
-21.750;19.000;0.0178
-21.500;19.000;0.0161
-21.250;19.000;0.0135
-21.000;19.000;0.0082
-35.000;19.250;0.1046
-34.750;19.250;0.0989
-34.500;19.250;0.1132
-34.250;19.250;0.1184
-34.000;19.250;0.1209
-33.750;19.250;0.1256
-33.500;19.250;0.1290
-33.250;19.250;0.1290
-33.000;19.250;0.1236
-32.750;19.250;0.1156
-32.500;19.250;0.1106
-32.250;19.250;0.1042
-32.000;19.250;0.0612
-31.750;19.250;0.0414
-31.500;19.250;0.0348
-31.250;19.250;0.0350
-31.000;19.250;0.0374
-30.750;19.250;0.0393
-30.500;19.250;0.0439
-30.250;19.250;0.0469
-30.000;19.250;0.0501
-29.750;19.250;0.0564
-29.500;19.250;0.0749
-29.250;19.250;0.0796
