       Lat(y)	    Long(x)	   Modified Mercalli Intensity
       -25.850      28.050         5.4882
       -25.800      28.050         4.8739
       -25.750      28.050         4.4613
       -25.700      28.050         4.3934
       -25.650      28.050         4.3202
       -25.600      28.050         4.2712
       -25.550      28.050         4.1332
       -25.500      28.050         3.9113
       -25.450      28.050         3.5827
       -25.400      28.050         2.8946
       -25.350      28.050         0.0100
       -25.300      28.050         0.0100
       -25.250      28.050         0.0100
       -25.200      28.050         0.0100
       -25.150      28.050         0.0100
       -25.100      28.050         0.0100
       -25.050      28.050         0.0100
       -25.000      28.050         0.0100
       -24.950      28.050         0.0100
       -24.900      28.050         0.0100
       -27.100      28.100         5.0316
       -27.050      28.100         5.3773
       -27.000      28.100         5.6252
       -26.950      28.100         5.8110
       -26.900      28.100         5.9539
       -26.850      28.100         6.0495
       -26.800      28.100         6.1061
       -26.750      28.100         6.1260
       -26.700      28.100         6.1182
       -26.650      28.100         6.1270
       -26.600      28.100         6.2205
       -26.550      28.100         6.3774
       -26.500      28.100         6.5566
       -26.450      28.100         6.7310
       -26.400      28.100         6.8760
       -26.350      28.100         6.9825
       -26.300      28.100         7.0518
       -26.250      28.100         7.0883
       -26.200      28.100         7.0811
       -26.150      28.100         7.0293
       -26.100      28.100         6.9385
